OMN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
400001;Head of State;Said ibn Timur;1933;1964;1999;PA;Ruthless Powermonger;High;M92001;X
400002;Head of Government;Said ibn Timur;1933;1964;1999;PA;Backroom Backstabber;High;M92001;X
400003;Foreign Minister;Said ibn Timur;1933;1964;1999;PA;General Staffer;High;M92001;X
400004;Minister of Armament;James E. Drummond;1933;1964;1999;SC;Resource Industrialist;Medium;M92004;X
400005;Minister of Security;Henry L.W.L. Burnham;1933;1964;1999;SC;Compassionate Gentleman;Medium;M92005;X
400006;Head of Military Intelligence;Geoffrey Dennis;1933;1964;1999;SC;Technical Specialist;Medium;M92006;X
400007;Chief of Staff;Said ibn Timur;1933;1964;1999;PA;School of Defence;High;M92001;X
400008;Chief of Army;Said ibn Timur;1933;1964;1999;PA;Static Defence Doctrine;High;M92001;X
400009;Chief of Navy;Geoffrey Claydon;1933;1964;1999;SC;Open Seas Doctrine;Medium;M92009;X
400010;Chief of Air Force;Abdallah ibn Timur;1933;1964;1999;PA;Air Superiority Doctrine;Medium;M92010;X
400011;Foreign Minister;Herbert A. Laurens-Fisher;1939;1964;1999;SC;Great Compromiser;High;M92011;X
400012;Foreign Minister;Ibrahim ibn Timur;1944;1964;1999;PA;Iron Fisted Brute;High;M92012;X
400013;Minister of Armament;Arthur Henderson;1941;1964;1999;SC;Infantry Proponent;Medium;M92013;X
400014;Minister of Armament;James H. Thomas;1943;1964;1999;SC;laissez-faire capitalist;Medium;M92014;X
400015;Minister of Armament;Ali ibn Timur;1945;1964;1999;SC;Corrupt Kleptocrat;Medium;M92015;X
400016;Minister of Security;Robert Bannatyne Finlay;1940;1964;1999;SC;Silent Lawyer;Medium;M92016;X
400017;Minister of Security;Said ibn Timur;1945;1964;1999;PA;Efficient Sociopath;Medium;M92001;X
400018;Head of Military Intelligence;Harold Beresford-Butler;1942;1964;1999;SC;Industrial Specialist;Medium;M92018;X
400019;Chief of Staff;P.A. Mann;1938;1964;1999;SC;School of Fire Support;High;M92019;X
400020;Chief of Staff;Angus Douglas-Hamilton;1941;1964;1999;SC;School of Mass Combat;High;M92020;X
400021;Chief of Staff;Jamil ibn Timur;1945;1964;1999;PA;School of Manoeuvre;High;M92021;X
400022;Chief of Army;Eric Wright;1938;1964;1999;SC;Guns and Butter Doctrine;High;M92022;X
400023;Chief of Army;Angus Douglas-Hamilton;1941;1964;1999;SC;Decisive Battle Doctrine;High;M92020;X
400024;Chief of Army;Zahir ibn Timur;1945;1964;1999;PA;Elastic Defence Doctrine;High;M92024;X
400025;Chief of Navy;Derek Leaf;1943;1964;1999;SC;Indirect Approach Doctrine;Medium;M92025;X
400026;Chief of Air Force;Derek Leaf;1940;1964;1999;SC;Naval Aviation Doctrine;Medium;M92025;X
400027;Chief of Air Force;R.E. Martin;1941;1964;1999;SC;Army Aviation Doctrine;Medium;M92027;X
400028;Chief of Air Force;Fawzi ibn Timur;1945;1964;1999;PA;Carpet Bombing Doctrine;Medium;M92028;X
400029;Head of State;Taimur bin Feisal;1913;1932;1999;PA;Benevolent Gentleman;Very High;6059;X
400030;Head of Government;Robert Arthur Edward Benn;1913;1932;1999;PA;Smiling Oilman;Medium;unknownminister;X
400031;Foreign Minister;Taimur bin Feisal;1913;1932;1999;PA;Great Compromiser;Very High;6059;X
400032;Minister of Armament;Taimur bin Feisal;1913;1932;1999;PA;Resource Industrialist;Medium;6059;X
400033;Minister of Security;Taimur bin Feisal;1913;1932;1999;PA;Crime Fighter;Very High;6059;X
400034;Head of Military Intelligence;Taimur bin Feisal;1913;1932;1999;PA;Dismal Enigma;Medium;6059;X
400035;Chief of Staff;Percy Zachariah Cox;1904;1932;1999;PA;School of Fire Support;Medium;6057;X
400036;Chief of Army;Percy Zachariah Cox;1904;1932;1999;PA;Elastic Defence Doctrine;Medium;6057;X
400037;Chief of Navy;Percy Zachariah Cox;1904;1932;1999;PA;Power Projection Doctrine;Medium;6057;X
400039;Head of Government;Taimur bin Feisal;1904;1932;1999;PA;Political Protege;Medium;6059;X
400040;Chief of Staff;Taimur bin Feisal;1904;1932;1999;PA;School of Defence;Medium;6059;X
400041;Chief of Army;Taimur bin Feisal;1904;1932;1999;PA;Static Defence Doctrine;Medium;6059;X
